Excel行,模型ID,单元,注入位置（结构与正常作用）,故障类型,故障模型（实施步骤与激活口径）,适用频率,适用负载（真实名称）,事件触发条件,传播链重点观测,预期结果（待验证假设）,设计理由,文献依据/直接性
24,S06,Store Queue,Store Queue 表项的 valid、committed、completed 生命周期状态。valid 表示槽中有有效 store，committed 表示已获准离开推测状态，completed 表示 cache 写请求已完成；状态过早或丢失可能漏写、重复释放或破坏精确异常。,状态,清除或伪造valid/committed/completed；一次只改一位并记录方向。实施细则：一次运行只改变一个状态位或一种状态转换；清零、伪造、提前置位和延后清除分别统计，不在同一样本叠加。注入前后记录状态机轨迹与关联 instruction/transaction，检查是否破坏占用、唯一性或顺序不变量。激活口径：仅当“状态转换边沿”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F6,"SQ-Forward 转发探针（同地址/部分重叠 store-to-load forwarding、字节掩码、alias、replay）
Cache-DirtyEvict 缓存探针（0.5×/1×/2×L1D working set、conflict set、dirty eviction、writeback）",状态转换边沿,L0 项是否被读/转发/提交；L1 addr/data/mask/valid/age与影子SQ；L2 forwarding/replay/violation/SSIT-LFST；L3 cache写请求与ack；L4 commit及内存写日志；L5结局；状态机轨迹、ROB commit、cache request是否缺失/重复,假completed可能丢store而SDC；提前committed可能破坏精确异常；valid丢失可能静默漏写,覆盖store生命周期控制,TC'23随机翻转基线
25,S07,Store Queue,Store Queue 的 head/tail 指针、age/sequence 顺序号和选择逻辑。它们维护占用范围以及 store 的程序顺序，决定下一条可提交/排空的表项；错误可能错选另一条仍然有效的 store。,换值,指针±1、交换两个合法age、把选择结果换到另一有效项。实施细则：不生成任意随机位串，而是从当前运行中选择另一个满足对齐、范围、编码和生命周期约束的合法值；保存 source/target 及候选集合。每次运行只替换一个字段或一个选择结果，非法候选、空闲项和已经释放的事务不得使用。激活口径：仅当“SQ占用≥2”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F4 / F6,SQ-Forward 转发探针（同地址/部分重叠 store-to-load forwarding、字节掩码、alias、replay）,SQ占用≥2,L0 项是否被读/转发/提交；L1 addr/data/mask/valid/age与影子SQ；L2 forwarding/replay/violation/SSIT-LFST；L3 cache写请求与ack；L4 commit及内存写日志；L5结局；占用计数守恒、head/tail距离、dynInst唯一性、提交序,可导致乱序写、漏写或重复写；结构不变量可能先于SDC出现,研究指针故障的前期特征,无直接文献
26,S08,Store Queue,Store-to-load forwarding 的地址比较器与候选选择器。比较器寻找地址/字节范围重叠的旧 store，选择器应选程序顺序上最年轻且覆盖所需字节的那一条；false match、false miss 或选到更旧 store 都会改变 load 数据来源。,换值,制造false match/false miss；多匹配时选择旧store而非最年轻匹配项。实施细则：不生成任意随机位串，而是从当前运行中选择另一个满足对齐、范围、编码和生命周期约束的合法值；保存 source/target 及候选集合。每次运行只替换一个字段或一个选择结果，非法候选、空闲项和已经释放的事务不得使用。激活口径：仅当“发生地址重叠load”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F6,SQ-Forward 转发探针（同地址/部分重叠 store-to-load forwarding、字节掩码、alias、replay）,发生地址重叠load,L0 项是否被读/转发/提交；L1 addr/data/mask/valid/age与影子SQ；L2 forwarding/replay/violation/SSIT-LFST；L3 cache写请求与ack；L4 commit及内存写日志；L5结局；候选store集合、youngest选择、forward值、replay,选择旧值是典型静默错误；false miss可能由cache旧值暴露或replay恢复,Store Queue核心功能，随机数据翻转覆盖不到,无直接文献
27,S09,Store Queue,部分重叠 forwarding 的数据拼接 MUX。一个 load 的不同字节可能来自多条旧 store 和 L1D，MUX 按 byte mask 合成为完整 load 值；来源顺序或字节位置错误会生成看似合法但内容混合的新值。,错位拼接,部分重叠时把两个store的byte片段顺序交换、清零一段或混入旧cache字节。实施细则：保持各输入片段本身不变，只修改片段来源、顺序、移位量或拼接选择，使结果仍是完整位串；交换、循环移位、清零和读旧值必须作为独立子模型统计。每次运行只启用一种拼接规则，记录每个输出字节/子字段的真实来源。激活口径：仅当“partial overlap forwarding”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F6,SQ-Forward 转发探针（同地址/部分重叠 store-to-load forwarding、字节掩码、alias、replay）,partial overlap forwarding,L0 项是否被读/转发/提交；L1 addr/data/mask/valid/age与影子SQ；L2 forwarding/replay/violation/SSIT-LFST；L3 cache写请求与ack；L4 commit及内存写日志；L5结局；每字节来源追踪、正确合成值与实际值,生成合法但混合的新值，预期高SDC且难由控制检查发现,针对partial forwarding真实拼接逻辑,本方案结构化模型
28,S10,Store Queue,内存依赖预测器的 SSIT/LFST。SSIT 把 load/store PC 映射到 store-set ID，LFST 记录该集合最近的在飞 store；预测结果决定年轻 load 是否等待某条 store，但最终正确性仍依赖 violation 检查与 replay。,换值,SSIT的store-set ID换成另一合法ID，或LFST指向另一条在飞store；也测试valid丢失。实施细则：不生成任意随机位串，而是从当前运行中选择另一个满足对齐、范围、编码和生命周期约束的合法值；保存 source/target 及候选集合。每次运行只替换一个字段或一个选择结果，非法候选、空闲项和已经释放的事务不得使用。激活口径：仅当“load/store alias训练后”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F5,"SQ-Forward 转发探针（同地址/部分重叠 store-to-load forwarding、字节掩码、alias、replay）
GAP/Graph500 子集（BFS、SSSP、PageRank，固定图与结果哈希）",load/store alias训练后,L0 项是否被读/转发/提交；L1 addr/data/mask/valid/age与影子SQ；L2 forwarding/replay/violation/SSIT-LFST；L3 cache写请求与ack；L4 commit及内存写日志；L5结局；预测ID、依赖边、issue次序、violation/replay、commit结果,多数表现为额外stall或replay；错误放行且检查漏掉时才可能SDC,区分预测性能错误与真正内存次序错误,无直接SSIT/LFST注入
29,S11,Store Queue,Store Queue 向 L1D 发送写请求并接收 ack/done 的事务握手通路。request 表示真正发出写，ack/done 表示下游已接受或完成；SQ 只有在正确事务完成后才能释放对应表项。,时序,丢失一次request/ack、重复一次request，或提前done释放SQ项。实施细则：绑定一条明确的 dynamic instruction 或 transaction ID，只改变一次事件的发生周期或次数；提前、延后、丢失和重复必须分成独立子模型。数据载荷保持正确，以便把结果归因于握手/完成时序而不是数据翻转。激活口径：仅当“store drain或writeback”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F4 / F6,"SQ-Forward 转发探针（同地址/部分重叠 store-to-load forwarding、字节掩码、alias、replay）
Cache-DirtyEvict 缓存探针（0.5×/1×/2×L1D working set、conflict set、dirty eviction、writeback）",store drain或writeback,L0 项是否被读/转发/提交；L1 addr/data/mask/valid/age与影子SQ；L2 forwarding/replay/violation/SSIT-LFST；L3 cache写请求与ack；L4 commit及内存写日志；L5结局；request ID、发送/接收次数、释放周期、最终内存,提前done/丢request可静默漏写；重复request通常幂等但MMIO/原子场景危险,覆盖事务时序而非存储位,MICRO'24时延故障方法论类比
30,S12,Store Queue,Store Queue 数据与转发通路的 ECC/parity/poison 保护元数据。syndrome 用于检测/定位错误，poison 表示数据不可安全消费；该位置仅在实现了对应保护的 S5 配置中有效。,保护,保护配置下翻校验位、压制检出、纠正后不回写、poison在forward时丢失。实施细则：仅在 S5 保护配置存在对应机制时执行；校验位翻转、检出未上报、纠正不回写、scrub 错地址和 poison 丢失分别作为独立 campaign。B0 无保护结果标为不适用，不允许填成零故障率。激活口径：仅当“仅S5保护配置”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F5 / F6,SQ-Forward 转发探针（同地址/部分重叠 store-to-load forwarding、字节掩码、alias、replay）,仅S5保护配置,L0 项是否被读/转发/提交；L1 addr/data/mask/valid/age与影子SQ；L2 forwarding/replay/violation/SSIT-LFST；L3 cache写请求与ack；L4 commit及内存写日志；L5结局；syndrome、forward前后poison、纠正/回写计数,攻击保护链可把DUE变成SDC；B0结果不得混入,把保护作为显式故障面,保护扩展实验
31,C01,L1d-Cache,L1D data array 的有效 cache line 数据位。data array 保存程序最近使用的真实数据；只有该行以后被需求 load 读取、被 store 修改或被 writeback 才可能向架构状态传播。,单比特翻转,随机选择valid cache line的数据bit翻转1 bit；记录其后是否被需求读或写回。实施细则：每次故障运行只选一个当前有效且可被后续使用的目标，在指定字段内均匀抽取一个 bit 做一次 XOR 翻转；其余字段保持无故障值。保存目标 entry/way、bit 编号、原值和故障值，避免把未使用空项计为有效样本。激活口径：仅当“L1D存在valid line”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F1 / F2,"MiBench-TC23 论文负载（blowfish、patricia、fft、gsm、dijkstra、rijndael、sha、bitcount、edge、smooth）
Cache-DirtyEvict 缓存探针（0.5×/1×/2×L1D working set、conflict set、dirty eviction、writeback）",L1D存在valid line,L0 行/way是否被需求读或驱逐；L1 tag/data/valid/dirty/coherence/PLRU；L2 hit/miss/MSHR/merge/fill；L3 writeback与一致性消息；L4 load值/store可见性；L5结局；byte位置、被读/写回/覆盖、内核/用户来源,文献中L1D data是高SDC结构；TC'23 Armv8非benign中SDC占53.4%,直接复现最成熟的文献基线,IISWC'15、TC'22、TC'23、HPCA'24直接对照
32,C02,L1d-Cache,L1D data array 同一有效 cache line 内的两个数据位。可把两个位限制在同一 32-bit 保护字、同一 byte 或分散位置，从而区分局部 MBU 与逻辑分散双错。,双比特翻转,同一32-bit保护粒度或同一64B line内翻2 bit，分别统计相邻与分散。实施细则：每次故障运行只选一个有效结构项，在同一字段内同时异或两个不同 bit；相邻位与非相邻位分层各占一半，并记录两个 bit 的编号、距离、原值和故障值。两个 bit 必须在同一个微架构事件生效，不与其他字段故障叠加。激活口径：仅当“valid line”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2,"Cache-DirtyEvict 缓存探针（0.5×/1×/2×L1D working set、conflict set、dirty eviction、writeback）
MiBench-TC23 论文负载（blowfish、patricia、fft、gsm、dijkstra、rijndael、sha、bitcount、edge、smooth）",valid line,L0 行/way是否被需求读或驱逐；L1 tag/data/valid/dirty/coherence/PLRU；L2 hit/miss/MSHR/merge/fill；L3 writeback与一致性消息；L4 load值/store可见性；L5结局；两个bit距离、相同word/byte、syndrome,无保护时仍以SDC为主；SECDED下双bit可能转为DUE,覆盖MBU及保护粒度敏感性,CHAOS多bit；保护结果为待验证
33,C03,L1d-Cache,L1D data array 的固定 set/way/bit，或共用的读口/写口数据线。set/way 定位一条物理 cache line，端口故障则影响所有经该通路读写的行；两种子位置必须分开统计。,卡死,选择set/way/bit实施stuck-at-0/1，对读出或写入统一施加固定掩码。实施细则：在 warm-up 后固定一个物理 bit、lane 或控制位置，并独立执行 stuck-at-0 与 stuck-at-1 两个 campaign；之后每次读出/写入都施加同一掩码直到运行结束。若某次事件的正确值本来就等于卡死值，该次不增加 activated。激活口径：仅当“首个目标set访问后持续”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F5,"Cache-DirtyEvict 缓存探针（0.5×/1×/2×L1D working set、conflict set、dirty eviction、writeback）
STREAM+PointerChase（Copy、Scale、Add、Triad 与随机指针链）",首个目标set访问后持续,L0 行/way是否被需求读或驱逐；L1 tag/data/valid/dirty/coherence/PLRU；L2 hit/miss/MSHR/merge/fill；L3 writeback与一致性消息；L4 load值/store可见性；L5结局；同一bit激活次数、覆盖/驱逐后是否复现,HPCA'24报告永久L1D SDC概率范围高，具体随ISA/负载变化；预期重复污染,复现永久故障类别并定位读口/写口差异,HPCA'24永久故障直接类别对照
34,C04,L1d-Cache,L1D tag array 的物理地址标签。访问某个 set 后，tag 与请求地址比较以判断各 way 是否命中；tag 错误可能造成 false miss、false hit，或把 dirty 数据写回到错误地址。,单比特翻转,随机valid line的tag翻转1 bit；状态位不动。实施细则：每次故障运行只选一个当前有效且可被后续使用的目标，在指定字段内均匀抽取一个 bit 做一次 XOR 翻转；其余字段保持无故障值。保存目标 entry/way、bit 编号、原值和故障值，避免把未使用空项计为有效样本。激活口径：仅当“valid line”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F1 / F2,"MiBench-TC23 论文负载（blowfish、patricia、fft、gsm、dijkstra、rijndael、sha、bitcount、edge、smooth）
Cache-DirtyEvict 缓存探针（0.5×/1×/2×L1D working set、conflict set、dirty eviction、writeback）",valid line,L0 行/way是否被需求读或驱逐；L1 tag/data/valid/dirty/coherence/PLRU；L2 hit/miss/MSHR/merge/fill；L3 writeback与一致性消息；L4 load值/store可见性；L5结局；false hit/miss、受害line、写回地址,TC'23 Armv8非benign中SDC占38.0%；也常因错miss/错hit导致Crash,直接文献基线，需与data分开,TC'22、TC'23直接对照
35,C05,L1d-Cache,L1D 的 tag 比较结果与 way-select 数据选择器。tag 比较器产生命中向量，way-select 决定返回哪一路 data；模型保持候选 tag 合法，专门研究错选另一条有效 line 的后果。,换值,tag替换为同set另一合法tag，或强制选择另一valid way；数据不变。实施细则：不生成任意随机位串，而是从当前运行中选择另一个满足对齐、范围、编码和生命周期约束的合法值；保存 source/target 及候选集合。每次运行只替换一个字段或一个选择结果，非法候选、空闲项和已经释放的事务不得使用。激活口径：仅当“同set至少2条valid line”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F6,Cache-DirtyEvict 缓存探针（0.5×/1×/2×L1D working set、conflict set、dirty eviction、writeback）,同set至少2条valid line,L0 行/way是否被需求读或驱逐；L1 tag/data/valid/dirty/coherence/PLRU；L2 hit/miss/MSHR/merge/fill；L3 writeback与一致性消息；L4 load值/store可见性；L5结局；match vector、选中way、需求PA与line来源,合法false hit把错误line数据送给load，预期SDC高于随机tag翻转,绕开无效地址与自然miss防线,本方案结构化模型
36,C06,L1d-Cache,L1D 每个 way 的 valid bit。valid=1 表示 tag/data 可参与命中，valid=0 表示该槽无效；清零通常只制造 miss，伪造有效则可能让残留 tag/data 形成 stale hit。,状态,valid清零或将无效way伪造成valid；伪造时保留残留tag/data。实施细则：一次运行只改变一个状态位或一种状态转换；清零、伪造、提前置位和延后清除分别统计，不在同一样本叠加。注入前后记录状态机轨迹与关联 instruction/transaction，检查是否破坏占用、唯一性或顺序不变量。激活口径：仅当“目标set访问”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F5,Cache-DirtyEvict 缓存探针（0.5×/1×/2×L1D working set、conflict set、dirty eviction、writeback）,目标set访问,L0 行/way是否被需求读或驱逐；L1 tag/data/valid/dirty/coherence/PLRU；L2 hit/miss/MSHR/merge/fill；L3 writeback与一致性消息；L4 load值/store可见性；L5结局；stale age、false hit、refill、自愈时间,清零多为性能/重填；伪造valid可能读旧数据而SDC,区分无害的额外miss与危险的stale hit,IISWC'15覆盖valid类结构但未给独立结果
37,C07,L1d-Cache,L1D cache line 的 dirty bit。dirty=1 表示该行已被处理器修改、驱逐时必须写回下级；dirty 丢失会让最新数据被静默丢弃，伪造 dirty 会产生不必要写回。,状态,dirty丢失或伪造；不改tag/data。实施细则：一次运行只改变一个状态位或一种状态转换；清零、伪造、提前置位和延后清除分别统计，不在同一样本叠加。注入前后记录状态机轨迹与关联 instruction/transaction，检查是否破坏占用、唯一性或顺序不变量。激活口径：仅当“dirty eviction”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F5 / F6,Cache-DirtyEvict 缓存探针（0.5×/1×/2×L1D working set、conflict set、dirty eviction、writeback）,dirty eviction,L0 行/way是否被需求读或驱逐；L1 tag/data/valid/dirty/coherence/PLRU；L2 hit/miss/MSHR/merge/fill；L3 writeback与一致性消息；L4 load值/store可见性；L5结局；驱逐前后dirty、writeback地址/data、最终DRAM,dirty丢失会在驱逐时静默丢写；伪造dirty通常多余写回/性能，写回地址错时才危险,dirty位错误常有长潜伏期，必须观察到内存,本方案结构化模型
38,C08,L1d-Cache,L1D cache line 的 coherence state（如 M/E/S/I）及所有权信息。它描述本核是否拥有可写副本、其他核是否可能共享；错误状态可能漏掉 invalidation、保留陈旧副本或形成多个写者。,换值,M/E/S/I替换为另一合法状态；单核只做I↔valid，多核做完整协议。实施细则：不生成任意随机位串，而是从当前运行中选择另一个满足对齐、范围、编码和生命周期约束的合法值；保存 source/target 及候选集合。每次运行只替换一个字段或一个选择结果，非法候选、空闲项和已经释放的事务不得使用。激活口径：仅当“共享行或snoop”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F5 / F6,"Cache-DirtyEvict 缓存探针（0.5×/1×/2×L1D working set、conflict set、dirty eviction、writeback）
Atomic-Litmus 并发探针（MP、SB、LB、IRIW、Dekker、ticket lock、CAS counter、LDXR/STXR）",共享行或snoop,L0 行/way是否被需求读或驱逐；L1 tag/data/valid/dirty/coherence/PLRU；L2 hit/miss/MSHR/merge/fill；L3 writeback与一致性消息；L4 load值/store可见性；L5结局；snoop、owner/sharer、失效ack、跨核读值,单核多为额外miss；多核可能读旧值、漏失效或双写者，SDC/一致性违规风险高,缓存正确性不仅是tag/data，还依赖一致性状态,无直接本地论文结果
39,C09,L1d-Cache,L1D 命中后的 way-select、字节/字 MUX 与对齐网络。它从选中 line 中截取 1/2/4/8/16B，按地址低位排列并送给 load；错位、跨 line 拼接或上一拍残留会直接改变返回值。,错位拼接,读出时循环移位字节、交换两个word、拼接两条line片段或返回上一拍数据。实施细则：保持各输入片段本身不变，只修改片段来源、顺序、移位量或拼接选择，使结果仍是完整位串；交换、循环移位、清零和读旧值必须作为独立子模型统计。每次运行只启用一种拼接规则，记录每个输出字节/子字段的真实来源。激活口径：仅当“cache hit”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F6,"Cache-DirtyEvict 缓存探针（0.5×/1×/2×L1D working set、conflict set、dirty eviction、writeback）
STREAM+PointerChase（Copy、Scale、Add、Triad 与随机指针链）",cache hit,L0 行/way是否被需求读或驱逐；L1 tag/data/valid/dirty/coherence/PLRU；L2 hit/miss/MSHR/merge/fill；L3 writeback与一致性消息；L4 load值/store可见性；L5结局；每字节line/way来源、stale周期、load宽度,输出保持合法位模式，预期高SDC且tag检查无法发现,针对读数据选择网络的结构化风险,本方案结构化模型
40,C10,L1d-Cache,L1D 的 replacement/PLRU 元数据和 victim-way 选择器。它只决定 miss 时驱逐哪个 way，正常情况下不应改变程序结果；因此本位置主要作为“只影响性能”的负对照。,状态,翻转PLRU或把victim way替换为另一合法way。实施细则：一次运行只改变一个状态位或一种状态转换；清零、伪造、提前置位和延后清除分别统计，不在同一样本叠加。注入前后记录状态机轨迹与关联 instruction/transaction，检查是否破坏占用、唯一性或顺序不变量。激活口径：仅当“set满且发生miss”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F3 / F5,"Cache-DirtyEvict 缓存探针（0.5×/1×/2×L1D working set、conflict set、dirty eviction、writeback）
STREAM+PointerChase（Copy、Scale、Add、Triad 与随机指针链）",set满且发生miss,L0 行/way是否被需求读或驱逐；L1 tag/data/valid/dirty/coherence/PLRU；L2 hit/miss/MSHR/merge/fill；L3 writeback与一致性消息；L4 load值/store可见性；L5结局；victim序列、miss/MPKI、dirty victim、输出,通常仅性能；若与dirty/writeback控制缺陷耦合才影响正确性，预期SDC接近0,作为负对照验证“只影响性能”的假设,无直接文献；负对照
41,C11,L1d-Cache,L1D 的 MSHR（Miss Status Holding Register）及 target 列表。MSHR 保存尚未返回的 cache-line miss，target 列表记录等待同一 line 的多个 load/store；地址、合并关系或唤醒对象错配会把 fill 交给错误消费者。,换值,MSHR block address换成另一合法miss；错误merge两个请求；丢失或复制target。实施细则：不生成任意随机位串，而是从当前运行中选择另一个满足对齐、范围、编码和生命周期约束的合法值；保存 source/target 及候选集合。每次运行只替换一个字段或一个选择结果，非法候选、空闲项和已经释放的事务不得使用。激活口径：仅当“至少1个outstanding miss；merge需同line请求”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F4 / F6,"Cache-DirtyEvict 缓存探针（0.5×/1×/2×L1D working set、conflict set、dirty eviction、writeback）
STREAM+PointerChase（Copy、Scale、Add、Triad 与随机指针链）",至少1个outstanding miss；merge需同line请求,L0 行/way是否被需求读或驱逐；L1 tag/data/valid/dirty/coherence/PLRU；L2 hit/miss/MSHR/merge/fill；L3 writeback与一致性消息；L4 load值/store可见性；L5结局；MSHR占用、request-target双向映射、fill ID、wakeup消费者,错fill/错唤醒可产生读旧值或跨请求数据，结构检查可能先触发,B0有6 MSHR，是L1D缺失处理核心,无直接MSHR注入
42,C12,L1d-Cache,L1D 的 fill buffer、writeback buffer 及事务配对控制。fill 把下级返回的 tag/data 写入 L1D，writeback 把 dirty victim 送往下级；tag、data、way 和 transaction ID 必须属于同一事务。,时序,丢失/重复fill或writeback；提前valid；把旧fill data与新tag组合。实施细则：绑定一条明确的 dynamic instruction 或 transaction ID，只改变一次事件的发生周期或次数；提前、延后、丢失和重复必须分成独立子模型。数据载荷保持正确，以便把结果归因于握手/完成时序而不是数据翻转。激活口径：仅当“miss fill或dirty writeback”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F4 / F6,"Cache-DirtyEvict 缓存探针（0.5×/1×/2×L1D working set、conflict set、dirty eviction、writeback）
STREAM+PointerChase（Copy、Scale、Add、Triad 与随机指针链）",miss fill或dirty writeback,L0 行/way是否被需求读或驱逐；L1 tag/data/valid/dirty/coherence/PLRU；L2 hit/miss/MSHR/merge/fill；L3 writeback与一致性消息；L4 load值/store可见性；L5结局；tag/data写入周期、transaction ID、writeback完成、line版本,tag-data错配是高风险SDC；丢fill多Timeout；重复通常被协议吸收,覆盖事务配对和先后次序,本方案结构化模型
43,C13,L1d-Cache,L1D data/tag 的 ECC/parity、syndrome、poison 与 scrub 状态。ECC 负责检测/纠正，scrub 把修正值写回，poison 阻止坏数据被消费；本位置只在 S5 保护配置中执行。,保护,S5中翻校验位、抑制syndrome上报、纠正错误但不回写、scrub错行、poison丢失。实施细则：仅在 S5 保护配置存在对应机制时执行；校验位翻转、检出未上报、纠正不回写、scrub 错地址和 poison 丢失分别作为独立 campaign。B0 无保护结果标为不适用，不允许填成零故障率。激活口径：仅当“仅S5保护配置”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F5 / F6,Cache-DirtyEvict 缓存探针（0.5×/1×/2×L1D working set、conflict set、dirty eviction、writeback）,仅S5保护配置,L0 行/way是否被需求读或驱逐；L1 tag/data/valid/dirty/coherence/PLRU；L2 hit/miss/MSHR/merge/fill；L3 writeback与一致性消息；L4 load值/store可见性；L5结局；syndrome、corrected/uncorrectable、scrub地址、poison到commit,可把可纠正错误变为重复错误，或把DUE静默化；需单独报告 coverage gap,直接评估保护机制自身的单点失效,TC'22保护背景；具体模型为本方案
44,O01,原子与同步,每核 exclusive monitor 中记录的 reservation address。LDXR 建立对某个 exclusive granule 的预留，STXR 只有在预留仍匹配且未被冲突写破坏时才能成功；地址错误通常表现为错误失败，也可能形成错误成功。,单比特翻转,LDXR建立reservation后翻转monitor地址1 bit；数据不改。实施细则：每次故障运行只选一个当前有效且可被后续使用的目标，在指定字段内均匀抽取一个 bit 做一次 XOR 翻转；其余字段保持无故障值。保存目标 entry/way、bit 编号、原值和故障值，避免把未使用空项计为有效样本。激活口径：仅当“LDXR后、STXR前”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F6,Atomic-Litmus 并发探针（MP、SB、LB、IRIW、Dekker、ticket lock、CAS counter、LDXR/STXR）,LDXR后、STXR前,L0 原子/屏障事件激活；L1 exclusive monitor、RMW旧值/新值、done/成功码；L2顺序队列与一致性事务；L3跨核可见顺序；L4禁出现结果/提交序；L5结局；reservation地址、granule、STXR结果、重试次数,多为STXR失败和重试；若错误地址仍匹配可能错误成功并SDC,覆盖独占监视器核心状态,无直接文献
45,O02,原子与同步,Exclusive monitor 的 valid、version 与 granule 范围状态。valid 表示预留存在，version/失效状态反映竞争写，granule 规定监视的地址范围；这些状态共同决定 STXR 是否可以提交。,状态,valid清零/伪造，version换成旧值，granule扩大或缩小到另一合法粒度。实施细则：一次运行只改变一个状态位或一种状态转换；清零、伪造、提前置位和延后清除分别统计，不在同一样本叠加。注入前后记录状态机轨迹与关联 instruction/transaction，检查是否破坏占用、唯一性或顺序不变量。激活口径：仅当“存在竞争写或reservation”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F5 / F6,Atomic-Litmus 并发探针（MP、SB、LB、IRIW、Dekker、ticket lock、CAS counter、LDXR/STXR）,存在竞争写或reservation,L0 原子/屏障事件激活；L1 exclusive monitor、RMW旧值/新值、done/成功码；L2顺序队列与一致性事务；L3跨核可见顺序；L4禁出现结果/提交序；L5结局；冲突写时间、monitor失效原因、禁出现结果,伪成功最危险，可产生lost update；清零多为性能/活锁,区分安全失败与错误成功,无直接文献
46,O03,原子与同步,STXR/CAS 等原子操作返回给软件的成功/失败状态码。它必须与内存是否真正更新保持一致；状态码与事实不一致会让软件错误重试或错误停止重试。,翻转,翻转返回软件的成功/失败状态，但保持内存更新事实不变。实施细则：每次故障运行只选一个当前有效且可被后续使用的目标，在指定字段内均匀抽取一个 bit 做一次 XOR 翻转；其余字段保持无故障值。保存目标 entry/way、bit 编号、原值和故障值，避免把未使用空项计为有效样本。激活口径：仅当“原子操作完成”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F6,Atomic-Litmus 并发探针（MP、SB、LB、IRIW、Dekker、ticket lock、CAS counter、LDXR/STXR）,原子操作完成,L0 原子/屏障事件激活；L1 exclusive monitor、RMW旧值/新值、done/成功码；L2顺序队列与一致性事务；L3跨核可见顺序；L4禁出现结果/提交序；L5结局；真实更新、返回码、重试路径、counter期望值,内存已写却报失败会重复更新；未写却报成功会丢更新，均可能稳定SDC,状态码是软件控制流与内存事实的契约,无直接文献
47,O04,原子与同步,LSE 原子读改写的数据选择与返回 MUX。它在 CAS/SWP/LDADD 中选择比较值、替换值、旧内存值和新内存值，并把正确 old value 返回寄存器；交换这些输入不会产生非法编码但会改变原子语义。,错位拼接,交换old/new值、CAS比较值与替换值，或返回上一条原子的old value。实施细则：保持各输入片段本身不变，只修改片段来源、顺序、移位量或拼接选择，使结果仍是完整位串；交换、循环移位、清零和读旧值必须作为独立子模型统计。每次运行只启用一种拼接规则，记录每个输出字节/子字段的真实来源。激活口径：仅当“CAS/SWP/LDADD”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F6,Atomic-Litmus 并发探针（MP、SB、LB、IRIW、Dekker、ticket lock、CAS counter、LDXR/STXR）,CAS/SWP/LDADD,L0 原子/屏障事件激活；L1 exclusive monitor、RMW旧值/新值、done/成功码；L2顺序队列与一致性事务；L3跨核可见顺序；L4禁出现结果/提交序；L5结局；请求操作数、内存old/new、返回寄存器、线性化点,位模式合法且可能不崩溃，预期高SDC；竞争下放大,针对读改写的数据选择链,无直接文献
